Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,12,0,20.4,3,7.7,0.391,0.4,2.3,0.179,2.6,5.3,0.484,0.418,2.3,2.8,0.848,2,5,7,1.3,0.2,0.6,1.3,1.6,8.8
2,Steven Adams,C,29,MEM,15,15,26,2.9,4.7,0.629,0,0,0,2.9,4.7,0.629,0.629,0.6,2.3,0.257,4.9,5.8,10.7,2.4,0.7,1.1,2.3,2.7,6.5
3,Bam Adebayo,C,25,MIA,14,14,35,7.4,14,0.531,0,0.4,0,7.4,13.6,0.545,0.531,4.2,4.9,0.855,2.4,6.7,9.1,3.4,1.2,0.8,3.6,3.4,19.1
4,Ochai Agbaji,SG,22,UTA,6,0,11.2,1.3,3.2,0.421,0,1,0,1.3,2.2,0.615,0.421,0.7,1.2,0.571,0.7,1,1.7,0.2,0,0,0,1,3.3
5,Santi Aldama,PF,22,MEM,16,14,27.3,3.8,8.1,0.465,1.3,3.8,0.344,2.4,4.3,0.574,0.547,1.2,1.8,0.679,1.8,4.5,6.3,0.9,0.9,1.1,0.6,2.7,10
6,Nickeil Alexander-Walker,SG,24,UTA,9,0,7.8,1,3,0.333,0.4,1.4,0.308,0.6,1.6,0.357,0.407,0.4,0.6,0.8,0,0.7,0.7,1.1,0.6,0.3,0.6,1.2,2.9
7,Grayson Allen,SG,27,MIL,13,11,25.5,2.9,7,0.418,1.8,4.4,0.421,1.1,2.6,0.412,0.549,2.2,2.3,0.933,0.8,1.9,2.8,2.4,0.8,0.3,1.5,1.5,9.8
8,Jarrett Allen,C,24,CLE,13,13,33.5,5.9,10.4,0.57,0,0.2,0,5.9,10.2,0.579,0.57,2.6,3.4,0.773,3.3,8.2,11.5,1.2,0.4,1.5,1.5,2.3,14.5
9,Jose Alvarado,PG,24,NOP,16,2,19.4,3.3,6.9,0.477,1.3,3.5,0.357,2.1,3.4,0.6,0.568,0.6,0.8,0.75,0.5,1.9,2.4,2.9,0.8,0.3,1.3,2.3,8.4
10,Kyle Anderson,PF,29,MIN,12,2,19.6,2.3,4.3,0.519,0.5,1.2,0.429,1.8,3.2,0.553,0.577,1.3,1.5,0.833,0.5,2.7,3.2,2.8,1,0.6,0.9,1.2,6.3
